1, 400 220. 1. 2. 3. 4. 5. 6. 7. 8. 1.;
2, 400 220. 1. 2. 3. 4. 5. 6. 7. 8. 0.5;
3, 800 220. 1. 1.9 2.8 3.7 4.6 5.5 6.4 7.3 0.5;
4, 400 330. 1. 2. 3. 4. 5. 6. 7. 8. 1.;
5, 400 330. 1. 2. 3. 4. 5. 6. 7. 8. 0.8;
6, 800 330. 1. 2.1 3.2 4.3 5.4 6.5 7.6 8.7 0.8;
7, 400 440. 1. 2. 3. 4. 5. 6. 7. 8. 1.;
8, 400 440. 1. 2. 3. 4. 5. 6. 7. 8. 0.3;
9, 800 440. 1. 1.4 1.8 2.6 4.1 4.3 5.9 6.5 0.3;
10, 400 550. 1. 2. 3. 4. 5. 6. 7. 8. 0.6;
11, 400 550. 2. 3. 4. 5. 6. 7. 8. 9. 0.6;
12, 800 550. 3. 4. 5. 6. 7. 8. 9. 10. 0.6;
