1, 400 1. 220. 1. 2. 3. 4. 5. 6. 7. 8.;
2, 400 0.5 220. 1. 2. 3. 4. 5. 6. 7. 8.;
3, 800 0.5 220. 1. 1.9 2.8 3.7 4.6 5.5 6.4 7.3;
4, 400 1. 330. 1. 2. 3. 4. 5. 6. 7. 8.;
5, 400 0.8 330. 1. 2. 3. 4. 5. 6. 7. 8.;
6, 800 0.8 330. 1. 2.1 3.2 4.3 5.4 6.5 7.6 8.7;
7, 400 1. 440. 1. 2. 3. 4. 5. 6. 7. 8.;
8, 400 0.3 440. 1. 2. 3. 4. 5. 6. 7. 8.;
9, 800 0.3 440. 1. 1.4 1.8 2.6 4.1 4.3 5.9 6.5;
10, 400 0.6 550. 1. 2. 3. 4. 5. 6. 7. 8.;
11, 400 0.6 550. 2. 3. 4. 5. 6. 7. 8. 9.;
12, 800 0.6 550. 3. 4. 5. 6. 7. 8. 9. 10.;
