1, 800 0.6 523.23 1. 3. 5. 7. 9. 11. 13. 15.;
2, 800 0.6 587.33 1. 3. 5. 7. 9. 11. 13. 15.;
3, 533 0.7 622.25 1. 3. 5. 7. 9. 11. 13. 15.;
4, 533 0.5 622.25 1. 2. 3. 4. 5. 6. 7. 8.;
5, 534 0.9 622.25 1. 3. 5. 7. 9. 11. 13. 15.;
6, 1066 1. 622.25 1. 1.01 2. 2.01 4. 4.01 6. 6.1.;
7, 267 1. 587.33 1. 3. 5. 7. 9. 11. 13. 15.;
8, 267 1. 523.23 1. 3. 5. 7. 9. 11. 13. 15.;
9, 267 1. 587.33 1. 3. 5. 7. 9. 11. 13. 15.;
10, 267 1. 523.23 1. 3. 5. 7. 9. 11. 13. 15.;
11, 1866 1. 466.16 1. 3. 5. 7. 9. 11. 13. 15.;
12, 800 0.6 932.33 1. 2. 3. 4. 5. 6. 7. 8.;
13, 400 0.6 932.33 1. 3. 5. 7. 9. 11. 13. 15.;
14, 400 0.6 830.61 1. 3. 5. 7. 9. 11. 13. 15.;
15, 800 1. 739.99 1. 2. 4. 6. 8. 10. 12. 14.;
16, 800 1. 739.99 1. 3. 5. 7. 9. 11. 13. 15.;
17, 800 0.2 830.61 1. 3. 5. 7. 9. 11. 13. 15.;
18, 1600 0.2 698.46 1. 1.01 3. 3.01 5. 5.01 7. 7.1.;
