Nom	Taille	Créé		Modifié		Où
00-table_des_matières	4 Ko	20/05/08	10:43:42	16/12/08	19:22:37	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
01-ondes_sinusoïdales	4 Ko	20/05/08	10:55:38	12/12/08	15:36:46	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
02-sinusoïdes.mxb	3 Ko	14/06/07	02:16:06	12/12/08	15:35:43	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
03-sinusoïdes&decay	4 Ko	20/05/08	12:50:04	12/12/08	15:35:31	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
04-résonateurs	4 Ko	20/05/08	14:49:08	12/12/08	15:34:51	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
05-résumé_synthèse.mxb	2 Ko	16/10/08	12:18:34	12/12/08	15:34:40	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
06-gérer_les_modèles.mxb	3 Ko	16/10/08	10:32:12	12/12/08	15:34:23	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
07-modèles_avec_coll.mxb	10 Ko	16/10/08	10:51:04	12/12/08	15:33:47	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
08-max&listes.mxb	4 Ko	16/10/08	11:08:04	12/12/08	15:33:33	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
09-modèles_avec_sdif.mxb	4 Ko	16/10/08	11:21:50	12/12/08	15:33:21	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
10-visualiser_les_modèles.mxb	6 Ko	16/10/08	12:01:42	12/12/08	15:33:03	Pauvre Bouc/Users/mp/Documents/Max Patches/installed Max patches/CNMAT-spectral_tutorials.fr
